question_name,question_link,type,difficulty,,,,,,
Number of factors,https://www.geeksforgeeks.org/problems/number-of-factors1435/1,ClassWork,Easy,,,,,,
Prime Number,https://www.geeksforgeeks.org/problems/prime-number2314/1,ClassWork,Easy,,,,,,
Bulb Switcher,https://leetcode.com/problems/bulb-switcher/,HomeWork,Easy,,,,,,
LOOP_CMPL,https://www.interviewbit.com/problems/loopcmpl/,ClassWork,Easy,,,,,,
NESTED_CMPL,https://www.interviewbit.com/problems/nestedcmpl/,ClassWork,Easy,,,,,,
NESTED_CMPL2,https://www.interviewbit.com/problems/nestedcmpl2/,ClassWork,Easy,,,,,,
CHOOSE4,https://www.interviewbit.com/problems/choose4/,ClassWork,Easy,,,,,,
WHILE_CMPL,https://www.interviewbit.com/problems/whilecmpl/,ClassWork,Easy,,,,,,
NESTED_CMPL3,https://www.interviewbit.com/problems/nestedcmpl3/,ClassWork,Medium,,,,,,
LOOP_CMPL2,https://www.interviewbit.com/problems/loopcmpl2/,ClassWork,Medium,,,,,,
CHOOSE3,https://www.interviewbit.com/problems/choose3/,ClassWork,Medium,,,,,,
CHOOSE2,https://www.interviewbit.com/problems/choose2/,ClassWork,Medium,,,,,,
CHOOSE1,https://www.interviewbit.com/problems/choose1/,ClassWork,Medium,,,,,,
Two Sum,https://leetcode.com/problems/two-sum/,ClassWork,Easy,,,,,,
Count Pairs Whose Sum is Less than Target,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/,ClassWork,Easy,,,,,,
Largest Positive Integer That Exists With Its Negative,https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative/,HomeWork,Easy,,,,,,
Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/,HomeWork,Easy,,,,,,
Second largest,https://www.geeksforgeeks.org/problems/second-largest3735/1,HomeWork,Easy,,,,,,
Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/,HomeWork,Easy,,,,,,
Rotate Array,https://leetcode.com/problems/rotate-array/description/,ClassWork,Medium,,,,,,
Rotating an Array,https://www.geeksforgeeks.org/problems/reversal-algorithm5340/1,ClassWork,Medium,,,,,,
Reverse array in groups,https://www.geeksforgeeks.org/problems/reverse-array-in-groups0255/1,HomeWork,Easy,,,,,,
Reverse String,https://leetcode.com/problems/reverse-string/description/,HomeWork,Easy,,,,,,
Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/,HomeWork,Easy,,,,,,
Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,HomeWork,Hard,,,,,,
Array Leaders,https://www.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,ClassWork,Medium,,,,,,
Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description/,HomeWork,Easy,,,,,,
Equilibrium index of an array,https://www.geeksforgeeks.org/problems/equilibrium-point-1587115620/1,ClassWork,Easy,,,,,,
Magic Triplets,https://www.geeksforgeeks.org/problems/magic-triplets4003/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,HomeWork,Medium,,,,,,
Ways to Make a Fair Array,https://leetcode.com/problems/ways-to-make-a-fair-array/description/,HomeWork,Hard,,,,,,
Number of Arithmetic Triplets,https://leetcode.com/problems/number-of-arithmetic-triplets/,HomeWork,Medium,,,,,,
Count Partitions with Even Sum Difference,https://leetcode.com/problems/count-partitions-with-even-sum-difference/,HomeWork,Medium,,,,,,
Running Sum of 1d Array,https://leetcode.com/problems/running-sum-of-1d-array/,ClassWork,Easy,,,,,,
Prefix Sum Queries 1,https://www.hackerrank.com/contests/pwioi-dsa-assignments/challenges/prefix-sum-queries-1,ClassWork,Medium,,,,,,
Average of Prefix,https://www.geeksforgeeks.org/problems/average4856/1?page=1&category=prefix-sum&sortBy=submissions,HomeWork,Easy,,,,,,
Maximum prefix sum for a given range,https://www.geeksforgeeks.org/problems/maximum-prefix-sum-for-a-given-range0227/1,HomeWork,Medium,,,,,,
Maximum prefix sum for a given range,https://www.geeksforgeeks.org/problems/maximum-prefix-sum-for-a-given-range0227/1,HomeWork,Medium,,,,,,
Sum of Subarrays,https://www.geeksforgeeks.org/problems/sum-of-subarrays2229/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,ClassWork,Medium,,,,,,
Split an array into two equal Sum subarrays,https://www.geeksforgeeks.org/problems/split-an-array-into-two-equal-sum-subarrays/1?page=1&category=prefix-sum&sortBy=submissions,HomeWork,Easy,,,,,,
Sum of All Odd Length Subarrays,https://leetcode.com/problems/sum-of-all-odd-length-subarrays/,HomeWork,Medium,,,,,,
Shortest un-ordered subarray,https://www.geeksforgeeks.org/problems/shortest-un-ordered-subarray3634/1?page=2&category=Arrays&sortBy=difficulty,HomeWork,Medium,,,,,,
Sum of Subarray Ranges,https://leetcode.com/problems/sum-of-subarray-ranges/,HomeWork,Medium,,,,,,
Minimum distance in an Array,https://www.geeksforgeeks.org/problems/minimum-distance-between-two-numbers/1,HomeWork,Medium,,,,,,
Max Sum Subarray of size K,https://www.geeksforgeeks.org/problems/max-sum-subarray-of-size-k5313/1?itm_source=geeksforgeeks&itm_medium=article&itm_campaign=practice_card,ClassWork,Medium,,,,,,
Maximum average subarray I ,https://leetcode.com/problems/maximum-average-subarray-i/description/,HomeWork,Medium,,,,,,
Increasing Triplet Sequence,https://leetcode.com/problems/increasing-triplet-subsequence/description/,HomeWork,Medium,,,,,,
Pick from both sides!,https://www.interviewbit.com/problems/pick-from-both-sides/,HomeWork,Medium,,,,,,
Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,ClassWork,Easy,,,,,,
Max Non Negative SubArray,https://www.interviewbit.com/problems/max-non-negative-subarray/,HomeWork,Medium,,,,,,
Smallest sum contiguous subarray,https://www.geeksforgeeks.org/problems/smallest-sum-contiguous-subarray/1,HomeWork,Easy,,,,,,
Diagonal sum,https://www.geeksforgeeks.org/problems/diagonal-sum0158/1?page=1&category=Matrix&sortBy=difficulty,ClassWork,Easy,,,,,,
Sum of elements in a matrix,https://www.geeksforgeeks.org/problems/sum-of-elements-in-a-matrix2000/1?page=1&category=Matrix&sortBy=difficulty,ClassWork,Easy,,,,,,
Row Sum in a Matrix,https://www.geeksforgeeks.org/problems/row-sum-in-a-matrix/1?page=1&category=Matrix&sortBy=difficulty,ClassWork,Easy,,,,,,
Column Sum in a Matrix,https://www.geeksforgeeks.org/problems/column-sum-in-a-matrix/1?page=1&category=Matrix&sortBy=difficulty,ClassWork,Easy,,,,,,
Print Diagonally,https://www.geeksforgeeks.org/problems/print-diagonally4331/1?page=3&category=Matrix&sortBy=difficulty,ClassWork,Medium,,,,,,
Identical Matrices,https://www.geeksforgeeks.org/problems/identical-matrices1042/1?page=1&category=Matrix&sortBy=difficulty,HomeWork,Easy,,,,,,
Sums of i-th row and i-th column,https://www.geeksforgeeks.org/problems/sums-of-i-th-row-and-i-th-column3054/1?page=1&category=Matrix&sortBy=difficulty,HomeWork,Easy,,,,,,
Squares in a Matrix,https://www.geeksforgeeks.org/problems/squares-in-a-matrix5716/1?page=1&category=Matrix&sortBy=difficulty,HomeWork,Easy,,,,,,
Addition of two square matrices,https://www.geeksforgeeks.org/problems/addition-of-two-square-matrices4916/1?page=1&category=Matrix&sortBy=difficulty,HomeWork,Easy,,,,,,
Find difference between sum of diagonals,https://www.geeksforgeeks.org/problems/find-difference-between-sum-of-diagonals1554/1?page=1&category=Matrix&sortBy=difficulty,HomeWork,Easy,,,,,,
Count Sorted Rows,https://www.geeksforgeeks.org/problems/count-sorted-rows2702/1?page=1&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Starting Point,https://www.geeksforgeeks.org/problems/starting-point0909/1?page=1&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Boundary Elements of Matrix,https://www.geeksforgeeks.org/problems/boundary-elements-of-matrix1102/1?page=2&category=Matrix&sortBy=difficulty,ClassWork,Medium,,,,,,
Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,ClassWork,Hard,,,,,,
Matrix Boundary Traversal,https://www.geeksforgeeks.org/problems/boundary-traversal-of-matrix-1587115620/1?page=2&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Spirally traversing a matrix,https://www.geeksforgeeks.org/problems/spirally-traversing-a-matrix-1587115621/1?page=4&category=Matrix&sortBy=difficulty,HomeWork,Hard,,,,,,
Reverse Spiral Form of Matrix,https://www.geeksforgeeks.org/problems/reverse-spiral-form-of-matrix4033/1?page=4&category=Matrix&sortBy=difficulty,HomeWork,Hard,,,,,,
Spiral Matrix,https://www.geeksforgeeks.org/problems/spiral-matrix--141631/1?page=6&category=Matrix&sortBy=difficulty,HomeWork,Hard,,,,,,
Spiral Matrix III,https://leetcode.com/problems/spiral-matrix-iii/,HomeWork,Hard,,,,,,
Multiply 2 matrices,https://www.geeksforgeeks.org/problems/multiply-2-matrices4144/1?page=1&category=Matrix&sortBy=difficulty,ClassWork,Medium,,,,,,
Swapping Triangles,https://www.geeksforgeeks.org/problems/swapping-triangles5209/1?page=1&category=Matrix&sortBy=difficulty,ClassWork,Easy,,,,,,
Rotate by 90 degree,https://www.geeksforgeeks.org/problems/rotate-by-90-degree-1587115621/1?page=2&category=Matrix&sortBy=difficulty,ClassWork,Medium,,,,,,
Transpose of Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1?page=2&category=Matrix&sortBy=difficulty,ClassWork,Medium,,,,,,
Interchanging the rows of a Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1?page=2&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Rotate a Matrix by 180 Counterclockwise,https://www.geeksforgeeks.org/problems/c-matrix-rotation-by-180-degree0745/1?page=2&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Reversing the columns of a Matrix,https://www.geeksforgeeks.org/problems/reversing-the-columns-of-a-matrix-1587115621/1?page=3&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Magic Square,https://www.geeksforgeeks.org/problems/magic-square/1?page=3&category=Matrix&sortBy=difficulty,HomeWork,Hard,,,,,,
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,ClassWork,Hard,,,,,,
Game of Life,https://leetcode.com/problems/game-of-life/,HomeWork,Medium,,,,,,
Number of Laser Beams in a Bank,https://leetcode.com/problems/number-of-laser-beams-in-a-bank/,HomeWork,Medium,,,,,,
Add Binary Strings,https://www.geeksforgeeks.org/problems/add-binary-strings3805/1,ClassWork,Medium,,,,,,
K-th Bit is Set or Not,https://www.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1,ClassWork,Easy,,,,,,
Unique Number I,https://www.geeksforgeeks.org/problems/find-unique-number/1,ClassWork,Easy,,,,,,
Exceptionally odd,https://www.geeksforgeeks.org/problems/find-the-odd-occurence4820/1?page=1&category=Bit%20Magic&sortBy=submissions,ClassWork,Easy,,,,,,
Missing in Array,https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Easy,,,,,,
First Set Bit,https://www.geeksforgeeks.org/problems/find-first-set-bit-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Easy,,,,,,
Find position of set bit,https://www.geeksforgeeks.org/problems/find-position-of-set-bit3706/1,HomeWork,Easy,,,,,,
First and last Bit,https://www.geeksforgeeks.org/problems/first-and-last-bit2357/1,HomeWork,Easy,,,,,,
Find one extra character,https://www.geeksforgeeks.org/problems/find-one-extra-character/0,HomeWork,Easy,,,,,,
Play With OR,https://www.geeksforgeeks.org/problems/play-with-or5515/1?page=3&category=Bit%20Magic&sortBy=difficulty,HomeWork,Easy,,,,,,
Number of 1 Bits,https://www.geeksforgeeks.org/problems/set-bits0143/1,ClassWork,Easy,,,,,,
